FOLD,LABEL,OFFSET_STD_KMS,N_BOOTSTRAPS
0,BRIGHT:20211112,0.17606384107076228,50
0,BRIGHT:20211113,0.07476954740983702,50
0,BRIGHT:20211114,0.05859967373441255,50
0,BRIGHT:20211115,0.05356196391254781,50
0,BRIGHT:20211116,0.06771709250289326,50
0,BRIGHT:20211117,0.05093790423397349,50
0,BRIGHT:20211118,0.07726910749359793,50
0,BRIGHT:20211119,0.05978967533098006,50
0,BRIGHT:20211120,0.10859966370000448,50
0,BRIGHT:20211122,0.10960471594438156,50
0,BRIGHT:20211125,0.057162049741678704,50
0,BRIGHT:20211126,0.10520047011221238,50
0,BRIGHT:20211127,0.09960358130546706,50
0,BRIGHT:20211128,0.11375983822832082,50
0,BRIGHT:20211129,0.12119309476376651,50
0,BRIGHT:20211130,0.170535305832215,50
0,BRIGHT:20211201,0.13300645724519758,50
0,BRIGHT:20211202,0.19532894351780172,50
0,BRIGHT:20211203,0.07852344069983817,50
0,BRIGHT:20211204,0.1858515539279062,50
0,BRIGHT:20211205,0.11661989174510203,50
0,BRIGHT:20211206,0.0643371985211016,50
0,BRIGHT:20211207,0.14282421186383873,50
0,BRIGHT:20211208,0.1121316109946205,50
0,BRIGHT:20211210,0.11585651693034034,50
0,BRIGHT:20211211,0.11627212352983243,50
0,BRIGHT:20211212,0.06012042391203975,50
0,BRIGHT:20211215,0.05350381079113399,50
0,BRIGHT:20211216,0.05137283211165512,50
0,BRIGHT:20211217,0.06120055704207668,50
0,BRIGHT:20211218,0.13358144128604568,50
0,BRIGHT:20211219,0.03077572547686993,50
0,BRIGHT:20211220,0.06425815540648035,50
0,BRIGHT:20211222,0.20931677044571567,50
0,BRIGHT:20220101,0.07980320860228116,50
0,BRIGHT:20220102,0.21707837564111734,50
0,BRIGHT:20220103,0.14015392356633147,50
0,BRIGHT:20220104,0.1080054651701938,50
0,BRIGHT:20220105,0.10667761363187839,50
0,BRIGHT:20220106,0.07935712694171677,50
0,BRIGHT:20220107,0.08070603341286137,50
0,BRIGHT:20220108,0.09762338559489464,50
0,BRIGHT:20220109,0.06332235375263222,50
0,BRIGHT:20220111,0.08473471205287415,50
0,BRIGHT:20220112,0.05847968887437199,50
0,BRIGHT:20220113,0.05763426175620991,50
0,BRIGHT:20220114,0.05151672814752949,50
0,BRIGHT:20220119,0.05805522954509786,50
0,BRIGHT:20220120,0.03384964803136217,50
0,BRIGHT:20220121,0.049583046211729404,50
0,BRIGHT:20220122,0.28600553946386187,43
0,BRIGHT:20220123,0.08276003088735888,50
0,BRIGHT:20220124,0.0844236430664421,50
0,BRIGHT:20220125,0.03854962798456997,50
0,BRIGHT:20220126,0.054307367367641725,50
0,BRIGHT:20220127,0.04077743860370966,50
0,BRIGHT:20220129,0.11134099391375951,50
0,BRIGHT:20220130,0.07314570232707793,50
0,BRIGHT:20220131,0.06624276003756108,50
0,BRIGHT:20220201,0.06354518538875777,50
0,BRIGHT:20220202,0.044393989075762745,50
0,BRIGHT:20220203,0.04855071617691387,50
0,BRIGHT:20220204,0.07065242337945073,50
0,BRIGHT:20220205,0.10970177553247679,50
0,BRIGHT:20220206,0.06763844707026612,50
0,BRIGHT:20220207,0.07208747857098294,50
0,BRIGHT:20220208,0.06232798335896705,50
0,BRIGHT:20220209,0.10293667136739103,50
0,BRIGHT:20220210,0.07409214692221541,50
0,BRIGHT:20220211,0.06071105273014946,50
0,BRIGHT:20220212,0.03344180800269473,50
0,BRIGHT:20220213,0.03012645590105505,50
0,BRIGHT:20220217,0.03543950468186259,50
0,BRIGHT:20220218,0.03891481463352246,50
0,BRIGHT:20220219,0.0593234352989637,50
0,BRIGHT:20220220,0.09692449508181253,50
0,BRIGHT:20220221,0.04181315602619567,50
0,BRIGHT:20220225,0.06893296814641028,50
0,BRIGHT:20220226,0.1910013461231681,50
0,BRIGHT:20220227,0.062311548065731796,50
0,BRIGHT:20220228,0.1701679770825921,50
0,BRIGHT:20220301,0.07747670481158686,50
0,BRIGHT:20220302,0.05265887295014293,50
